	base	Trt
JZ103_CpG	1	0
JZ104_CpG	1	1
JZ106_CpG	1	1
JZ108_CpG	1	1
JZ110_CpG	1	1
JZ111_CpG	1	1
JZ113_CpG	1	1
JZ116_CpG	1	1
JZ117_CpG	1	1
JZ122_CpG	1	1
JZ123_CpG	1	1
JZ39_CpG	1	1
JZ40_CpG	1	1
JZ41_CpG	1	1
JZ48_CpG	1	0
JZ49_CpG	1	0
JZ51_CpG	1	0
JZ52_CpG	1	0
JZ63_CpG	1	0
JZ64_CpG	1	0
JZ70_CpG	1	0
JZ71_CpG	1	0
JZ87_CpG	1	0
JZ88_CpG	1	0
JZ92_CpG	1	0
JZ93_CpG	1	0
JZ96_CpG	1	0
JZ98_CpG	1	1
JZ99_CpG	1	1
