	base	Trt
JZ11_CpG	1	0
JZ129_CpG	1	0
JZ130_CpG	1	0
JZ131_CpG	1	0
JZ132_CpG	1	0
JZ134_CpG	1	1
JZ135_CpG	1	1
JZ138_CpG	1	1
JZ142_CpG	1	1
JZ145_CpG	1	1
JZ147_CpG	1	1
JZ15_CpG	1	1
JZ166_CpG	1	0
JZ167_CpG	1	0
JZ169_CpG	1	0
JZ214_CpG	1	0
JZ23_CpG	1	0
JZ2_CpG	1	1
JZ32_CpG	1	1
JZ33_CpG	1	1
JZ3_CpG	1	1
JZ5_CpG	1	0
JZ60_CpG	1	1
JZ61_CpG	1	1
JZ66_CpG	1	0
JZ67_CpG	1	0
JZ6_CpG	1	0
JZ72_CpG	1	1
JZ74_CpG	1	1
JZ75_CpG	1	0
JZ78_CpG	1	0
JZ7_CpG	1	0
JZ82_CpG	1	1
JZ83_CpG	1	1
